SKU,Store,MAPE,Forecast,Test,Safety_Stock,Reorder_Point,Qty_to_Order,Runtime_sec
SKU_1000,Australia,97.367,"[0.0, 0.4682190458979301, 1.0629721529618115, 0.7636631291884184]","[0.0, 0.0, 0.0, 29.0]",7,7,7,0.36
SKU_1000,Belgium,100.0,"[0.0, 0.0, 0.03469619450197538, 0.0]","[0.0, 0.0, 0.0, 18.0]",4,4,4,0.56
SKU_1000,France,100.0,"[0.0, 0.0, 0.6106047575738509, 0.0]","[0.0, 0.0, 0.0, 16.0]",5,5,5,0.33
SKU_1000,Germany,100.0,"[0.2892122201957044, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 19.0]",3,3,3,0.34
SKU_1000,Italy,23.03,"[4.0, 4.06845113712267, 4.102610037956564, 4.011691944683035]","[4.0, 4.0, 4.0, 33.0]",5,7,3,0.33
SKU_1000,Netherlands,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 12.0]",6,6,6,0.37
SKU_1000,Norway,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 35.0]",5,5,5,0.26
SKU_1000,Portugal,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 25.0]",4,4,4,0.26
SKU_1000,Sweden,99.458,"[0.009563509206127063, 0.00973721788011645, 0.009915003535437028, 0.01009664928487544]","[0.0, 13.0, 0.0, 1.0]",3,3,3,0.34
SKU_1000,United Kingdom,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 6.0]",2,2,2,0.43
SKU_1000,United States,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 21.0]",6,6,6,0.23
SKU_1001,Australia,25.253,"[1.3599999999999999, 1.372361763809422, 1.4069075287065282, 1.4069012865302142]","[1.3599999999999999, 1.3599999999999999, 1.3599999999999999, 42.03999999999999]",2,3,2,0.46
SKU_1001,Belgium,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 21.0]",2,2,2,0.38
SKU_1001,France,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 7.0]",4,4,4,0.29
SKU_1001,Germany,99.61,"[0.017159076578963327, 0.0, 0.0, 0.035056046661860955]","[0.0, 0.0, 0.0, 9.0]",5,5,5,0.57
SKU_1001,Italy,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 32.0]",3,3,3,0.26
SKU_1001,Netherlands,99.809,"[0.0, 0.0, 0.0, 0.042111727876913835]","[0.0, 0.0, 0.0, 22.0]",9,9,9,0.18
SKU_1001,Norway,24.58,"[1.7773704756206683, 1.85, 1.85, 1.85]","[1.85, 1.85, 1.85, 33.0]",5,6,4,0.31
SKU_1001,Portugal,99.603,"[0.0, 0.0, 0.043383013490876504, 0.06346818946058472]","[0.0, 0.0, 0.0, 16.0]",6,6,6,0.35
SKU_1001,Spain,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 35.0]",3,3,3,0.44
SKU_1001,Sweden,99.462,"[0.043001298027502306, 0.04300119665247995, 0.043001152373990575, 0.04300106521814138]","[0.0, 0.0, 0.0, 8.0]",3,3,3,0.28
SKU_1001,United Kingdom,99.921,"[0.0, 0.0, 0.02509682402852658, 0.036435573343161505]","[0.0, 0.0, 0.0, 46.0]",1,1,1,0.42
SKU_1001,United States,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 44.0]",4,4,4,0.3
SKU_1002,Australia,19.651,"[10.97860085742714, 11.03484673412482, 11.18, 11.268680187128211]","[11.18, 11.18, 11.18, 46.0]",3,8,0,0.32
SKU_1002,Belgium,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 19.0]",4,4,4,0.35
SKU_1002,France,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 14.0]",3,3,3,0.32
SKU_1002,Germany,100.0,"[0.0, 0.6602140804978097, 0.0, 0.0]","[0.0, 0.0, 0.0, 9.0]",4,4,4,0.39
SKU_1002,Italy,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 34.0]",3,3,3,0.39
SKU_1002,Netherlands,99.853,"[0.0, 0.004127762407305183, 0.004271940360146275, 0.004415184343559034]","[0.0, 0.0, 0.0, 3.0]",4,4,4,0.37
SKU_1002,Norway,25.98,"[4.015562688874159, 3.853687953110604, 4.003490749951971, 4.15]","[4.15, 4.15, 4.15, 41.550000000000004]",3,5,1,0.37
SKU_1002,Portugal,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 19.0]",2,2,2,0.59
SKU_1002,Spain,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 7.0]",2,2,2,0.46
SKU_1002,Sweden,100.0,"[0.021684134271044927, 0.021701245344869134, 0.021717057891443795, 0.0]","[0.0, 0.0, 0.0, 45.0]",6,6,6,0.43
SKU_1002,United Kingdom,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 28.0]",4,4,4,0.43
SKU_1002,United States,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 19.0]",1,1,1,0.19
SKU_1003,Australia,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 49.0]",4,4,4,0.3
SKU_1003,Belgium,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 41.0, 0.0, 21.0]",3,3,3,0.3
SKU_1003,France,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 10.0]",5,5,5,0.28
SKU_1003,Germany,23.349,"[6.1936808060720985, 6.193671582819045, 6.193669376715246, 6.193669548048626]","[6.36, 6.36, 6.36, 42.85999999999999]",2,5,0,0.29
SKU_1003,Italy,99.951,"[0.020969775285755277, 0.020692970481165973, 0.019374901690546672, 0.019764572522398167]","[0.0, 0.0, 0.0, 40.0]",1,1,1,0.66
SKU_1003,Netherlands,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 4.0]",6,6,6,0.29
SKU_1003,Norway,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 14.0]",4,4,4,0.26
SKU_1003,Portugal,100.0,"[0.06854865847751215, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 22.0]",4,4,4,0.36
SKU_1003,Spain,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 21.0]",3,3,3,0.22
SKU_1003,Sweden,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 20.0]",2,2,2,0.28
SKU_1003,United Kingdom,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 43.0]",6,6,6,0.35
SKU_1003,United States,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 41.0]",4,4,4,0.37
SKU_1004,Australia,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 23.0]",7,7,7,0.33
SKU_1004,Belgium,99.953,"[0.0026958430490263844, 0.0, 0.0, 0.008377554729929857]","[0.0, 0.0, 0.0, 18.0]",6,6,6,0.24
SKU_1004,France,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 19.0]",4,4,4,0.26
SKU_1004,Germany,100.0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 9.0]",7,7,7,0.19
SKU_1004,Italy,40.661,"[5.72714956275581, 5.727496599237753, 5.727790436115361, 5.66]","[44.76, 5.66, 5.66, 21.0]",4,6,1,0.27
SKU_1004,Netherlands,100.0,"[0.0, 0.0, 0.03159029671084014, 0.0]","[0.0, 0.0, 0.0, 49.0]",1,1,1,0.33
SKU_1004,Norway,64.758,"[3.375, 3.440570526289111, 3.868994398571102, 4.229059389620656]","[0.0, 0.0, 0.0, 12.0]",4,6,6,0.09
